Node,X-Coord,Y-Coord
835,156896.177,8265457.837
836,156848.892,8266024.516
837,156796.634,8266029.550
838,157269.793,8266675.886
839,157315.003,8266672.546
840,157227.273,8266680.275
841,157317.603,8266707.686
842,156661.751,8266577.628
843,156671.728,8266576.572
844,156675.667,8266576.156
845,157224.910,8265823.372
846,157569.675,8265507.521
847,157584.178,8265652.828
848,157468.328,8265516.797
849,157481.298,8265661.738
850,157225.195,8265826.314
851,157516.998,8265511.564
852,157531.938,8265656.988
853,156790.162,8265576.554
854,157322.698,8263929.696
855,157168.113,8265828.718
856,157164.700,8265792.679
857,157161.641,8265759.738
858,157160.092,8265742.784
859,157158.383,8265722.688
860,157156.446,8265701.204
861,157154.621,8265681.330
862,157152.810,8265663.070
863,157149.991,8265632.937
864,157147.144,8265602.098
865,157144.646,8265572.874
866,157143.073,8265553.067
867,157142.437,8265547.274
868,157448.739,8263972.777
869,157470.499,8263980.157
870,157789.672,8262982.329
871,157837.090,8262998.203
872,157786.121,8262980.962
873,157639.929,8262930.826
874,157576.568,8263373.375
875,157785.975,8262992.151
876,157695.937,8263407.241
877,157915.213,8263726.576
878,157153.059,8263604.386
879,157483.709,8264101.297
880,157533.119,8264119.027
881,157402.618,8264232.487
882,157411.398,8264177.817
883,157429.928,8264113.317
884,157441.939,8264071.517
885,157718.389,8264492.187
886,157723.649,8264492.917
887,157729.628,8264751.907
888,157723.718,8264736.097
889,157662.068,8264938.127
890,157677.648,8264747.527
891,157671.438,8264731.747
892,157662.080,8264937.986
893,157611.958,8264934.277
894,157905.424,8266708.374
895,157894.531,8266691.605
896,157185.535,8263007.186
897,157728.477,8264382.494
898,157484.736,8264098.256
899,157534.192,8264115.999
900,157630.645,8263916.190
901,157701.069,8264726.850
902,157409.838,8264379.067
903,157405.801,8264378.882
904,157194.302,8265827.275
905,157212.180,8265825.668
906,157212.326,8265825.642
907,157252.560,8265541.152
908,157253.834,8265558.281
909,157255.729,8265578.945
910,157258.196,8265605.362
911,157261.175,8265638.353
912,157262.431,8265657.648
913,157265.022,8265684.295
914,157733.664,8263951.026
915,157420.719,8263963.567
916,157419.710,8263966.590
917,157225.448,8265828.758
918,157237.047,8265947.118
919,156813.988,8264466.627
920,156813.988,8264468.477
921,157287.677,8265942.208
922,156813.171,8264507.450
923,156813.192,8264506.497
924,157925.450,8263143.922
925,157611.608,8265650.388
926,157846.304,8263372.685
927,157853.143,8263353.770
928,157857.989,8263338.553
929,157865.278,8263318.139
930,157871.570,8263299.716
931,157877.923,8263281.499
932,157885.516,8263259.671
933,157891.498,8263242.201
934,157897.903,8263222.956
935,157903.783,8263206.027
936,157910.608,8263186.036
937,157914.898,8263173.196
938,157919.876,8263159.382
939,157924.515,8263146.515
940,157791.646,8263212.420
941,157798.078,8263190.612
942,157803.172,8263178.514
943,157809.684,8263160.137
944,157816.450,8263140.438
945,157821.315,8263126.332
946,157826.228,8263112.892
947,156819.525,8264070.809
948,157626.178,8264743.737
949,157707.319,8263945.647
950,157569.973,8263132.011
951,157473.431,8263981.138
952,157892.039,8263789.445
953,157804.890,8265958.217
954,156755.279,8266034.761
955,156816.380,8263032.430
956,156805.202,8263021.831
957,156791.053,8263008.176
958,156776.707,8262995.984
959,156759.314,8262983.422
960,156744.584,8262972.345
961,156730.957,8262962.679
962,156715.649,8262951.241
963,156703.396,8262941.564
964,156691.309,8262932.521
965,156677.890,8262921.241
966,156664.265,8262909.733
967,156650.998,8262898.490
968,156636.971,8262888.489
969,156623.904,8262879.855
970,156623.870,8262879.833
971,156815.300,8263625.098
972,156572.109,8263418.969
974,156572.374,8263424.674
975,156575.600,8263423.972
978,156399.118,8263429.156
979,156399.967,8263429.134
980,156405.408,8263503.266
981,156398.228,8263423.576
982,156399.500,8263423.543
983,156392.878,8263360.836
984,156475.659,8263352.842
985,156490.218,8263351.436
986,156572.208,8263344.349
987,156579.492,8263344.084
988,156814.174,8263537.347
989,156814.439,8263558.073
990,156814.848,8263579.947
991,156814.972,8263600.683
992,156815.248,8263621.194
993,156884.286,8263506.743
994,156885.262,8263534.650
995,156884.651,8263551.131
996,156885.443,8263569.970
997,156885.003,8263588.227
998,156885.536,8263601.979
999,156883.117,8263326.747
1000,156883.170,8263342.546
1001,156883.458,8263362.899
1002,156883.791,8263384.789
1003,156884.195,8263406.201
1004,156884.066,8263423.910
1005,156884.121,8263439.090
1006,156884.269,8263457.140
1007,156884.523,8263480.999
1008,156884.637,8263502.386
1009,156883.098,8263321.589
1010,156882.668,8263206.816
1011,156809.848,8263323.856
1013,156658.486,8263524.147
1014,156659.882,8263545.558
1015,156660.725,8263564.502
1016,156662.133,8263577.981
1017,156663.229,8263604.377
1018,156664.154,8263621.314
1019,156822.961,8263624.595
1020,156837.523,8263624.459
1021,156856.847,8263624.459
1022,156873.314,8263623.914
1023,156885.017,8263624.867
1024,156751.625,8263326.364
1025,156812.250,8263387.463
1026,156813.773,8263508.345
1027,156813.459,8263486.252
1028,156813.145,8263464.158
1029,156812.868,8263443.161
1030,156812.901,8263423.491
1031,156812.366,8263410.191
1032,156750.371,8263506.920
1033,156769.108,8263508.517
